Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Brannen Banks Of Florida, Inc.",BHC-SP,1082375,Inverness,FL,6/30/2025,"990,946","29,378"
"Hardin County Bancshares, Inc.",BHC-SP,1097838,Savannah,TN,6/30/2025,"635,609","56,536"
"Rich Land Bancorp, Inc.",BHC-SP,1098161,Olney,IL,6/30/2025,"596,274","47,360"
Citizens State Financial Corporation,BHC-SP,1105818,Corrigan,TX,6/30/2025,"187,409","19,000"
"Citizens Bancshares Of Woodville, Inc.",BHC-SP,1129065,Hudson,WI,6/30/2025,"462,489","26,474"
First Fontanelle Bancorporation,BHC-SP,1131778,Fontanelle,IA,6/30/2025,"271,033","39,927"
Fm Fincorp,BHC-SP,1135196,Laotto,IN,6/30/2025,"296,624","22,320"
"Kennett Bancshares, Inc.",BHC-SP,1136308,Kennett,MO,6/30/2025,"132,039","12,589"
First National Bank Corp.,BHC-SP,1137529,Cloverdale,IN,6/30/2025,"423,636","29,211"
"Todd Bancshares, Inc.",BHC-SP,1140574,Hopkinsville,KY,6/30/2025,"349,904","37,938"
"Whitewater Bancorp., Inc.",BHC-SP,1203536,Whitewater,WI,6/30/2025,"499,378","93,898"
"S & H Holdings, Inc.",BHC-SP,1205062,Iroquois,IL,6/30/2025,"167,991","13,068"
"Orion Bancorporation, Inc.",BHC-SP,1210048,Orion,IL,6/30/2025,"672,495","55,685"
"Ambanc Financial Services, Inc.",BHC-SP,1210682,Beaver Dam,WI,6/30/2025,"197,218","18,002"
"Warrior Bank Corporation, Inc.",BHC-SP,1249749,Hennessey,OK,6/30/2025,"85,810","6,625"
"Mason City Bancorp, Inc.",BHC-SP,1399019,Mason City,IL,6/30/2025,"75,101","10,277"
Colwich Financial Corporation,BHC-SP,1416448,Wichita,KS,6/30/2025,"819,752","68,061"
First Bancshares Corporation,BHC-SP,1978414,Gladstone,MI,6/30/2025,"619,091","78,566"
"Albany Bancorp, Inc.",BHC-SP,2022444,Albany,KY,6/30/2025,"656,492","75,356"
"Andrews Bancshares, Inc.",BHC-SP,2348087,Andrews,TX,6/30/2025,"285,591","33,557"
"Montana Security, Inc.",BHC-SP,2351274,Havre,MT,6/30/2025,"1,336,174","140,895"
"First La Grange Bancshares, Inc.",BHC-SP,2454504,La Grange,TX,6/30/2025,"227,780","17,802"
"First Ottawa Bancshares, Inc.",BHC-SP,2791816,Ottawa,IL,6/30/2025,"1,848,819","118,271"
"Maunesha Bancshares, Inc.",BHC-SP,3087039,Waterloo,WI,6/30/2025,"237,859","28,869"
Commerce Holding Corporation,BHC-SP,3135435,Corinth,MS,6/30/2025,"158,405","15,707"
"Hazlehurst Investors, Inc.",BHC-SP,3140961,Hazlehurst,GA,6/30/2025,"144,829","13,885"
Ucsb Financial Corporation,BHC-SP,3272554,Mountain View,WY,6/30/2025,"209,976","12,827"
"Bozka Investments, Ltd.",BHC-SP,3584293,Hallettsville,TX,6/30/2025,"370,411","3,404"
Tag Bancshares Inc.,BHC-SP,3839313,Trenton,GA,6/30/2025,"129,584","15,868"
Amb Financial Corp.,BHC-SP,3848267,Saint John,IN,6/30/2025,"383,174","32,772"
"Farmers State Bancshares, Inc.",BHC-SP,4261005,Dodge,NE,6/30/2025,"468,410","33,705"
"Northeast Texas Bancshares, Inc.",BHC-SP,4552356,Mount Pleasant,TX,6/30/2025,"149,496","14,584"
Central Trust Company,BHC-SP,1020920,Sioux Falls,SD,6/30/2025,"398,390","25,674"
"Farmers Enterprises, Inc.",BHC-SP,1055155,Great Bend,KS,6/30/2025,"999,678","217,741"
Campbell State Company,BHC-SP,1061857,Campbell,NE,6/30/2025,"190,707","27,302"
"Southwest Security, Inc.",BHC-SP,1081686,Natchez,MS,6/30/2025,"571,024","47,019"
"Wcg Bancshares, Inc.",BHC-SP,1083998,Thomaston,GA,6/30/2025,"157,918","33,315"
"First Perry Bancorp, Inc.",BHC-SP,1099579,Pinckneyville,IL,6/30/2025,"137,872","10,796"
"First-West Texas Bancshares, Inc.",BHC-SP,1109834,Midland,TX,6/30/2025,"2,692,271","243,257"
Linn Holding Company,BHC-SP,1119271,Linn,MO,6/30/2025,"592,168","103,276"
Antler Land Company,BHC-SP,1122301,Hardin,MT,6/30/2025,"370,853","35,947"
"Vh Bancorporation, Inc.",BHC-SP,1128563,Grand Marais,MN,6/30/2025,"117,443","9,617"
