Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Meridian Bank,Bank,3690701,Tallahassee,FL,3/31/2025,"974,668","15,285","13,964","15,276","13,663","100,946","92,559","100,016","89,983","89,316",0,0,"27,247",,0,,,,,,,,,,,,,,,,,,,,
Prime Security Bank,Bank,909756,Karlstad,MN,3/31/2025,"144,000","2,438","2,408","2,428","2,385","1,520","1,432","1,958","1,859","11,381",0,0,234,,0,,,,,,,,,,,,,,,,,,,,
Primebank,Bank,671147,Le Mars,IA,3/31/2025,"753,903",0,0,0,0,"49,046","44,995","47,914","43,318","71,704","1,135",0,"16,335",,1135,,,,,,,,,,,,,,,,,,,,
Primebank Of Texas,Bank,3134399,Austin,TX,3/31/2025,"224,381",0,0,0,0,"37,016","34,286","39,306","36,177","25,583","4,094",315,"5,561",,4409,,,,,,,,,,,,,,,,,,,,
PrimeSouth Bank,Bank,1011638,Blackshear,GA,3/31/2025,"1,368,357",0,0,0,0,"139,795","125,242","141,962","125,437","139,821","1,739",524,"45,830",,2263,,,,,,,,,,,,,,,,,,,,
Primis Bank,Bank,3325759,Tappahannock,VA,3/31/2025,"3,667,199","9,153","8,445","9,448","8,602","263,795","241,638","262,632","235,903","326,097","93,459",345,"31,254",,93804,,,,,,,,,,,,,,,,,,,,
Princeville State Bank,Bank,670748,Princeville,IL,3/31/2025,"112,251",0,0,0,0,"30,423","31,104","40,664","36,069","9,292","2,738","2,801","3,562",,5539,,,,,,,,,,,,,,,,,,,,
Principal Bank,Bank,2654911,Des Moines,IA,3/31/2025,"8,687,582",0,0,0,0,"5,924,756","5,529,406","6,074,785","5,620,517","417,150",0,0,"89,408",,0,,,,,,,,,,,,,,,,,,,,
Prinsbank,Bank,787459,Prinsburg,MN,3/31/2025,"218,395",0,0,0,0,"10,517","10,582","10,774","10,778","31,917",0,0,960,,0,,,,,,,,,,,,,,,,,,,,
Priority Bank,Bank,2059990,Fayetteville,AR,3/31/2025,"132,439",0,0,0,0,"20,001","19,740","17,178","16,888","14,353",202,0,"1,209",,202,,,,,,,,,,,,,,,,,,,,
Priorityone Bank,Bank,956938,Magee,MS,3/31/2025,"1,151,856","96,751","88,641","99,506","90,600","74,904","72,451","73,058","69,764","128,946",268,0,"84,737",,268,,,,,,,,,,,,,,,,,,,,
Prism Bank,Bank,905356,Guthrie,OK,3/31/2025,"468,573",0,0,0,0,"21,799","21,540","22,236","21,743","48,053","2,341",0,"1,675",,2341,,,,,,,,,,,,,,,,,,,,
"Private Trust Company, National Association, The",Bank,2328285,Cleveland,OH,3/31/2025,"27,378","15,278","15,323","15,214","15,191",0,0,0,0,"23,759","1,984",0,0,,1984,,,,,,,,,,,,,,,,,,,,
PRODUCE STATE BANK,Bank,24659,Hollandale,MN,3/31/2025,"111,091","16,897","16,539","17,985","17,516","28,546","28,621","27,706","27,680","10,999",907,82,"3,152",,989,,,,,,,,,,,,,,,,,,,,
Profile Bank,Bank,672573,Rochester,NH,3/31/2025,"299,190","77,734","66,103","78,826","65,565","5,793","5,407","5,832","5,445","27,411",0,0,"5,343",,0,,,,,,,,,,,,,,,,,,,,
"Profinium, Inc.",Bank,865450,Truman,MN,3/31/2025,"519,337",0,0,0,0,"82,091","66,515","83,601","66,913","38,481","3,816",0,"11,742",,3816,,,,,,,,,,,,,,,,,,,,
Progressive Bank,Bank,1007154,Monroe,LA,3/31/2025,"752,170","5,719","4,752","5,809","4,714","63,116","56,883","71,119","63,953","69,153",0,0,741,,0,,,,,,,,,,,,,,,,,,,,
Progressive National Bank,Bank,675855,Mansfield,LA,3/31/2025,"117,604",0,0,0,0,"10,744","10,714","9,841","9,762","12,443",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Progressive Ozark Bank,Bank,143372,Salem,MO,3/31/2025,"177,552",679,645,804,767,"7,598","7,383","8,273","7,938","16,741",0,0,679,,0,,,,,,,,,,,,,,,,,,,,
Progrowth Bank,Bank,751254,Nicollet,MN,3/31/2025,"405,753",2,2,2,2,"318,244","301,872","316,863","298,726","18,457",0,0,"51,128",,0,,,,,,,,,,,,,,,,,,,,
Promiseone Bank,Bank,3832127,Duluth,GA,3/31/2025,"796,184",0,0,0,0,"90,232","70,627","90,454","69,694","62,864",0,"1,278","28,145",,1278,,,,,,,,,,,,,,,,,,,,
Prospect Bank,Bank,738143,Paris,IL,3/31/2025,"720,811","4,406","4,406","4,406","4,406","189,982","163,191","201,427","171,705","34,027","2,210",0,"4,406",,2210,,,,,,,,,,,,,,,,,,,,
Prosperity Bank,Bank,664756,El Campo,TX,3/31/2025,"38,764,102","10,456,886","9,302,605","10,757,464","9,382,478","337,219","335,845","339,016","336,960","3,714,297","3,499,144","62,406","82,788",,3561550,,,,,,,,,,,,,,,,,,,,
PROVIDENCE BANK,Bank,3404506,Rocky Mount,NC,3/31/2025,"1,354,984",0,0,0,0,"123,165","113,981","125,322","114,048","149,030","9,876","4,728","24,881",,14604,,,,,,,,,,,,,,,,,,,,
Providence Bank & Trust,Bank,3280625,South Holland,IL,3/31/2025,"1,595,496",0,0,0,0,"420,085","381,232","428,196","381,613","157,563","2,875","3,717","73,232",,6592,,,,,,,,,,,,,,,,,,,,
Provident Bank,Bank,204004,Jersey City,NJ,3/31/2025,"24,256,157","314,022","301,190","327,638","313,734","3,043,177","2,878,785","2,975,694","2,768,915","2,174,467","624,069","184,572","413,363",,808641,,,,,,,,,,,,,,,,,,,,
"Provident Savings Bank, F.S.B.",Bank,631570,Riverside,CA,3/31/2025,"1,260,127","113,617","102,059","118,888","105,123","1,664","1,681","1,735","1,750","123,287",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
PS Bank,Bank,597313,Wyalusing,PA,3/31/2025,"597,941","10,411","10,506","10,365","10,505","118,447","109,068","121,657","110,598","56,731",0,0,"24,894",,0,,,,,,,,,,,,,,,,,,,,
"Pueblo Bank And Trust Company, The",Bank,106452,Pueblo,CO,3/31/2025,"631,437","47,609","39,869","47,749","40,531","75,497","71,320","82,001","76,719","73,564",0,"1,895","47,475",,1895,,,,,,,,,,,,,,,,,,,,
Putnam 1st Mercantile Bank,Bank,3393851,Cookeville,TN,3/31/2025,"155,379",0,0,0,0,"30,196","24,806","30,407","24,375","14,145",0,0,"4,696",,0,,,,,,,,,,,,,,,,,,,,
Putnam County Bank,Bank,417626,Hurricane,WV,3/31/2025,"650,561","34,053","34,061","33,999","34,031","128,474","122,372","135,327","127,179","76,327",0,0,"14,710",,0,,,,,,,,,,,,,,,,,,,,
"Putnam County National Bank Of Carmel, The",Bank,287007,Carmel,NY,3/31/2025,"174,196","14,750","12,137","15,170","12,379",0,0,0,0,"43,321",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Putnam County State Bank,Bank,382658,Unionville,MO,3/31/2025,"281,939","6,305","6,092","5,865","5,633",0,0,0,0,"39,501",0,0,"4,305",,0,,,,,,,,,,,,,,,,,,,,
"Pyramax Bank, F.S.B.",Bank,713476,Greenfield,WI,3/31/2025,"586,224",0,0,0,0,"112,958","104,761","117,659","107,823","60,982",0,0,"13,520",,0,,,,,,,,,,,,,,,,,,,,
Qnb Bank,Bank,852713,Quakertown,PA,3/31/2025,"1,873,899",0,0,0,0,"601,966","526,267","603,456","523,618","124,868",0,0,"84,239",,0,,,,,,,,,,,,,,,,,,,,
Quad City Bank And Trust Company,Bank,2142155,Bettendorf,IA,3/31/2025,"2,761,422","228,573","219,308","219,056","213,256","82,800","68,506","90,450","76,470","287,189","2,791",0,"255,044",,2791,,,,,,,,,,,,,,,,,,,,
Quail Creek Bank,Bank,507152,Oklahoma City,OK,3/31/2025,"781,224",0,0,0,0,"131,269","127,200","131,904","129,177","72,533",0,0,"78,463",,0,,,,,,,,,,,,,,,,,,,,
Quaint Oak Bank,Bank,815277,Southampton,PA,3/31/2025,"651,475",0,0,0,0,"1,456","1,458","1,666","1,666","66,276",515,65,0,,580,,,,,,,,,,,,,,,,,,,,
Queensborough National Bank & Trust Company,Bank,960935,Louisville,GA,3/31/2025,"2,175,337","280,704","248,006","298,525","260,862","410,845","379,683","384,099","347,022","170,139","2,872",0,"42,218",,2872,,,,,,,,,,,,,,,,,,,,
Queenstown Bank Of Maryland,Bank,429021,Queenstown,MD,3/31/2025,"693,232","2,690","2,569","2,731","2,570","143,631","124,771","146,563","125,060","69,344",0,0,"22,656",,0,,,,,,,,,,,,,,,,,,,,
Quoin Financial Bank,Bank,592550,Miller,SD,3/31/2025,"247,250",0,0,0,0,"31,812","32,608","29,707","30,134","20,256","9,075","3,381","3,799",,12456,,,,,,,,,,,,,,,,,,,,
Quontic Bank,Bank,3340725,Astoria,NY,3/31/2025,"795,786",0,0,0,0,"5,004","4,764","5,004","4,704","83,630",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
R Bank,Bank,3821037,Round Rock,TX,3/31/2025,"1,006,069","20,461","18,922","20,501","18,610","55,006","48,624","59,475","48,815","86,646","4,667",0,"15,034",,4667,,,,,,,,,,,,,,,,,,,,
Rabun County Bank,Bank,514936,Clayton,GA,3/31/2025,"335,785",0,0,0,0,"10,990","10,621","9,106","8,651","35,496",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Raccoon Valley Bank,Bank,102342,Perry,IA,3/31/2025,"467,306",0,0,0,0,"72,357","70,627","63,136","60,924","41,006",0,0,"26,476",,0,,,,,,,,,,,,,,,,,,,,
Randall State Bank,Bank,172251,Randall,MN,3/31/2025,"60,272",0,0,0,0,"3,505","3,485","4,252","4,190","5,980",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Range Bank,Bank,355559,Marquette,MI,3/31/2025,"583,116",0,0,0,0,"159,540","154,101","162,179","155,547","47,433","1,772",0,"16,787",,1772,,,,,,,,,,,,,,,,,,,,
Raritan State Bank,Bank,749943,Raritan,IL,3/31/2025,"249,255",0,0,0,0,"57,666","55,328","62,726","59,809","25,707",0,0,"16,048",,0,,,,,,,,,,,,,,,,,,,,
Raymond James Bank,Bank,2193616,Saint Petersburg,FL,3/31/2025,"41,906,621",0,0,0,0,"5,811,721","5,235,003","6,168,052","5,489,434","3,004,652",0,0,"1,148",,0,,,,,,,,,,,,,,,,,,,,
"Raymond James Trust, National Association",Bank,2163477,Saint Petersburg,FL,3/31/2025,"75,087",0,0,0,0,490,490,484,484,"61,956",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Rayne Building & Loan Association,Bank,518176,Rayne,LA,3/31/2025,"52,349",0,0,0,0,"11,464","9,706","11,311","9,415","14,023",0,0,"3,067",,0,,,,,,,,,,,,,,,,,,,,
Rayne State Bank & Trust Company,Bank,900034,Rayne,LA,3/31/2025,"517,406",0,0,0,0,"136,742","122,250","137,800","121,785","42,480",0,0,"46,891",,0,,,,,,,,,,,,,,,,,,,,
"Rbc Bank (georgia), National Association",Bank,3783948,Atlanta,GA,3/31/2025,"6,874,737",0,0,0,0,"3,742,084","3,667,792","3,618,363","3,521,025","760,580",0,"5,492",0,,5492,,,,,,,,,,,,,,,,,,,,
RCB Bank,Bank,945053,Claremore,OK,3/31/2025,"3,899,432",0,0,0,0,"1,237,702","1,193,644","1,184,708","1,122,754","350,141","76,358","3,923","78,327",,80281,,,,,,,,,,,,,,,,,,,,
Reading Co-operative Bank,Bank,1008674,Reading,MA,3/31/2025,"922,342",0,0,0,0,"159,557","138,325","163,219","139,736","54,575",679,319,"14,708",,998,,,,,,,,,,,,,,,,,,,,
"Readlyn Savings Bank, The",Bank,287342,Readlyn,IA,3/31/2025,"144,642",0,0,0,0,"27,472","24,046","29,238","25,717","24,851",0,0,"14,892",,0,,,,,,,,,,,,,,,,,,,,
Red River Bank,Bank,2743244,Alexandria,LA,3/31/2025,"3,185,557","129,686","107,927","131,796","108,990","625,524","566,874","613,393","550,148","323,671","1,546",0,"168,389",,1546,,,,,,,,,,,,,,,,,,,,
Red River State Bank,Bank,1005655,Halstad,MN,3/31/2025,"125,593",2,2,2,2,"4,060","4,018","4,207","4,143","16,175",310,0,506,,310,,,,,,,,,,,,,,,,,,,,
Redstone Bank,Bank,3591004,Centennial,CO,3/31/2025,"239,111",0,0,0,0,"55,891","51,713","56,578","52,331","27,071","2,965","1,237","31,288",,4202,,,,,,,,,,,,,,,,,,,,
REDWOOD CAPITAL BANK,Bank,3247589,Eureka,CA,3/31/2025,"522,659",0,0,0,0,"82,854","74,807","83,269","74,093","57,216",0,0,"8,641",,0,,,,,,,,,,,,,,,,,,,,
Regent Bank,Bank,309655,Tulsa,OK,3/31/2025,"1,772,002",0,0,0,0,"171,212","163,534","176,872","167,771","157,841","4,246",0,"30,469",,4246,,,,,,,,,,,,,,,,,,,,
Regional Missouri Bank,Bank,579140,Marceline,MO,3/31/2025,"570,349","9,360","9,360","9,440","9,440","76,142","69,544","76,550","69,281","53,861","2,879",0,"63,366",,2879,,,,,,,,,,,,,,,,,,,,
Regions Bank,Bank,233031,Birmingham,AL,3/31/2025,"158,421,000","5,195,000","5,063,000","4,427,000","4,227,000","27,244,000","25,922,000","28,162,000","26,204,000","12,143,000","5,115,000","161,000","2,000",,5276000,,,,,,,,,,,,,,,,,,,,
Reliabank Dakota,Bank,108951,Estelline,SD,3/31/2025,"746,734",0,0,0,0,"285,604","257,658","291,645","262,745","47,707",363,0,"130,846",,363,,,,,,,,,,,,,,,,,,,,
Reliance Bank,Bank,3596250,Faribault,MN,3/31/2025,"300,117",0,0,0,0,"47,761","45,812","48,661","46,177","24,700",0,0,"6,255",,0,,,,,,,,,,,,,,,,,,,,
Reliance Savings Bank,Bank,743679,Altoona,PA,3/31/2025,"652,492",0,0,0,0,"140,225","128,487","147,474","133,598","69,892","3,249",0,"41,368",,3249,,,,,,,,,,,,,,,,,,,,
Reliance State Bank,Bank,466044,Story City,IA,3/31/2025,"299,119",0,0,0,0,"85,710","79,087","86,465","78,674","20,356","5,601",0,"36,527",,5601,,,,,,,,,,,,,,,,,,,,
Relyance Bank,Bank,49241,White Hall,AR,3/31/2025,"1,495,305","31,911","29,922","32,828","30,330","126,077","112,956","129,757","114,157","166,268","7,153",379,"47,739",,7532,,,,,,,,,,,,,,,,,,,,
Renasant Bank,Bank,749242,Tupelo,MS,3/31/2025,"18,272,048","1,101,933","1,003,499","1,126,144","1,002,535","1,113,282","1,002,056","968,928","831,013","1,741,341","988,898","13,025","301,882",,1001923,,,,,,,,,,,,,,,,,,,,
Republic Bank & Trust Company,Bank,316840,Louisville,KY,3/31/2025,"7,068,101","5,612","5,566","10,778","10,734","618,470","604,855","597,831","579,324","936,120","40,516","1,842",0,,42358,,,,,,,,,,,,,,,,,,,,
Republic Bank Of Arizona,Bank,3596894,Phoenix,AZ,3/31/2025,"284,250","9,860","8,918","9,855","8,696","32,404","30,848","34,669","32,731","31,892",0,0,"9,860",,0,,,,,,,,,,,,,,,,,,,,
Republic Bank Of Chicago,Bank,671334,Oak Brook,IL,3/31/2025,"2,651,468","18,733","18,558","18,942","18,717","397,567","369,759","442,988","410,568","326,539",0,0,"35,514",,0,,,,,,,,,,,,,,,,,,,,
"Republic Banking Company, The",Bank,148920,Republic,OH,3/31/2025,"60,131",374,349,374,346,"3,595","3,555","3,943","3,878","11,186",0,0,374,,0,,,,,,,,,,,,,,,,,,,,
Resource Bank,Bank,2716088,Covington,LA,3/31/2025,"997,699","4,883","4,228","4,879","4,115","120,121","114,051","139,001","131,426","111,380",0,0,"22,236",,0,,,,,,,,,,,,,,,,,,,,
"Resource Bank, National Association",Bank,235530,Dekalb,IL,3/31/2025,"811,622",0,0,0,0,"251,596","234,594","256,090","237,418","52,591",0,0,"154,585",,0,,,,,,,,,,,,,,,,,,,,
"Rg Bank, A Savings And Loan Association",Bank,256076,Monte Vista,CO,3/31/2025,"137,807",0,0,0,0,"21,399","18,412","21,759","18,741","12,941",0,0,"10,367",,0,,,,,,,,,,,,,,,,,,,,
Rhinebeck Bank,Bank,195111,Rhinebeck,NY,3/31/2025,"1,255,694",0,0,0,0,"155,871","144,871","173,212","159,947","120,189","2,234",147,"2,523",,2381,,,,,,,,,,,,,,,,,,,,
Richland County Bank,Bank,331544,Richland Center,WI,3/31/2025,"111,486",0,0,0,0,"54,514","49,707","55,195","49,587","14,967",0,0,"4,770",,0,,,,,,,,,,,,,,,,,,,,
Richland State Bank,Bank,83852,Bruce,SD,3/31/2025,"40,256",0,0,0,0,"20,299","18,483","20,569","18,574","4,186",123,0,"8,244",,123,,,,,,,,,,,,,,,,,,,,
Richton Bank & Trust Company,Bank,40033,Richton,MS,3/31/2025,"52,128",0,0,0,0,"19,455","18,440","18,158","16,899","7,329",0,0,"1,812",,0,,,,,,,,,,,,,,,,,,,,
"Richwood Banking Company, Inc., The",Bank,150727,Richwood,OH,3/31/2025,"1,253,300","3,730","3,730","3,740","3,740","314,468","266,796","320,439","268,099","82,066","10,037",335,"85,109",,10372,,,,,,,,,,,,,,,,,,,,
"Riddell National Bank, The",Bank,319047,Brazil,IN,3/31/2025,"357,295",0,0,0,0,"59,325","54,155","58,945","53,310","24,389",0,0,"19,577",,0,,,,,,,,,,,,,,,,,,,,
Ridgewood Savings Bank,Bank,859712,Ridgewood,NY,3/31/2025,"7,297,683","440,494","375,818","451,227","376,271","1,172,370","1,024,503","1,180,827","1,009,542","801,860","80,205",0,207,,80205,,,,,,,,,,,,,,,,,,,,
"Riley State Bank Of Riley Kansas, The",Bank,532752,Riley,KS,3/31/2025,"118,131",0,0,0,0,"29,714","28,566","30,271","28,857","11,759",0,0,"12,190",,0,,,,,,,,,,,,,,,,,,,,
Rio Bank,Bank,956750,Mcallen,TX,3/31/2025,"974,607",0,0,0,0,"348,204","325,122","354,761","323,802","76,190","6,853",530,"5,340",,7383,,,,,,,,,,,,,,,,,,,,
River Bank,Bank,279842,Stoddard,WI,3/31/2025,"1,013,849",0,0,0,0,"81,805","74,889","83,350","75,467","106,335","6,441",533,"26,386",,6974,,,,,,,,,,,,,,,,,,,,
River Bank & Trust,Bank,3437157,Prattville,AL,3/31/2025,"3,632,550","120,946","100,632","122,060","99,222","686,700","621,679","690,768","610,862","258,320","27,816",822,"131,733",,28638,,,,,,,,,,,,,,,,,,,,
River City Bank,Bank,3445901,Rome,GA,3/31/2025,"369,593","2,930","2,884","2,934","2,817","39,711","35,254","39,936","34,748","30,646",0,0,"14,125",,0,,,,,,,,,,,,,,,,,,,,
River City Bank,Bank,253468,Sacramento,CA,3/31/2025,"5,287,018",0,0,0,0,"683,027","676,244","696,756","687,324","497,903",0,0,"5,518",,0,,,,,,,,,,,,,,,,,,,,
"River City Bank, Inc.",Bank,396244,Louisville,KY,3/31/2025,"491,377",0,0,0,0,"93,465","78,231","95,131","78,564","41,837",0,0,"29,914",,0,,,,,,,,,,,,,,,,,,,,
River Falls State Bank,Bank,955753,River Falls,WI,3/31/2025,"136,717",0,0,0,0,"26,714","23,573","27,290","23,703","12,358",0,0,"3,938",,0,,,,,,,,,,,,,,,,,,,,
River Valley Community Bank,Bank,3451050,Yuba City,CA,3/31/2025,"635,192",0,0,0,0,"205,495","190,865","204,729","187,849","53,440",0,0,"66,459",,0,,,,,,,,,,,,,,,,,,,,
Riverbank,Bank,29476,Pocahontas,AR,3/31/2025,"144,818",449,447,494,490,"16,479","16,084","13,988","13,585","17,394",199,0,"4,319",,199,,,,,,,,,,,,,,,,,,,,
RiverBank,Bank,3438958,Spokane,WA,3/31/2025,"265,327",0,0,0,0,"28,538","25,647","29,396","26,063","25,560",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Riverhills Bank,Bank,371223,Milford,OH,3/31/2025,"321,143",0,0,0,0,"42,768","42,337","43,057","42,533","32,041",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Riverhills Bank,Bank,573335,Vicksburg,MS,3/31/2025,"435,474","11,344","11,101","11,649","11,314","194,953","192,788","202,092","198,728","50,080",0,0,"82,403",,0,,,,,,,,,,,,,,,,,,,,
Riverland Bank,Bank,3374234,Jordan,MN,3/31/2025,"220,277",0,0,0,0,"8,375","8,290","7,583","7,461","25,594",0,0,605,,0,,,,,,,,,,,,,,,,,,,,
Rivers Edge Bank,Bank,474450,Marion,SD,3/31/2025,"312,007",0,0,0,0,"69,498","67,914","70,629","68,424","23,538","3,708",0,"14,968",,3708,,,,,,,,,,,,,,,,,,,,
Riverside Bank,Bank,977045,Sparkman,AR,3/31/2025,"68,626",0,0,0,0,"1,600","1,619","1,716","1,592","6,859","2,774",567,"1,206",,3341,,,,,,,,,,,,,,,,,,,,
Riverside Bank Of Dublin,Bank,5479478,Dublin,OH,3/31/2025,"235,192",0,0,0,0,"9,124","8,369","9,368","8,478","23,011",0,0,440,,0,,,,,,,,,,,,,,,,,,,,
"Riverside Savings Bank, Ssb",Bank,247476,Roanoke Rapids,NC,3/31/2025,"93,698",0,0,0,0,"27,373","24,453","28,061","25,174","14,532",689,120,"11,960",,809,,,,,,,,,,,,,,,,,,,,
Riverstone Bank,Bank,388557,Eagle,NE,3/31/2025,"521,190",0,0,0,0,"19,788","19,525","22,721","22,377","51,329",21,586,"3,827",,607,,,,,,,,,,,,,,,,,,,,
Riverview Bank,Bank,921178,Vancouver,WA,3/31/2025,"1,511,054","203,080","175,392","212,295","180,474","136,939","119,435","144,814","124,874","151,561","27,076",171,"41,316",,27247,,,,,,,,,,,,,,,,,,,,
Riverwind Bank,Bank,855143,Augusta,AR,3/31/2025,"146,859",0,0,0,0,"41,217","33,078","42,696","34,245","8,207",0,0,"24,972",,0,,,,,,,,,,,,,,,,,,,,
Rnb State Bank,Bank,548052,Rawlins,WY,3/31/2025,"268,264",0,0,0,0,"101,597","92,038","99,730","89,109","14,376",0,0,"21,553",,0,,,,,,,,,,,,,,,,,,,,
Robert Lee State Bank,Bank,803265,Robert Lee,TX,3/31/2025,"47,574",0,0,0,0,"25,089","23,018","24,739","22,424","5,015",0,0,"11,830",,0,,,,,,,,,,,,,,,,,,,,
Robertson Banking Company,Bank,430036,Demopolis,AL,3/31/2025,"474,020",0,0,0,0,"101,861","98,911","104,440","100,144","45,043",0,0,"39,946",,0,,,,,,,,,,,,,,,,,,,,
Rochelle State Bank,Bank,649632,Rochelle,GA,3/31/2025,"75,402",0,0,0,0,"11,214","10,423","11,223","10,241","5,554",0,679,425,,679,,,,,,,,,,,,,,,,,,,,
"Rockefeller Trust Company, National Association",Bank,62110,New York,NY,3/31/2025,"15,388",100,100,99,99,0,0,0,0,"12,976",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"Rockland Savings Bank, Fsb",Bank,95677,Rockland,ME,3/31/2025,"93,473","6,651","6,298","6,767","6,321",15,15,17,16,"9,063",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Rockland Trust Company,Bank,613008,Rockland,MA,3/31/2025,"19,887,343","1,409,959","1,289,133","1,434,956","1,291,802","1,365,524","1,283,767","1,353,965","1,250,944","2,152,338","985,072","10,941",195,,996013,,,,,,,,,,,,,,,,,,,,
"Rockpointbank, National Association",Bank,5574430,Chattanooga,TN,3/31/2025,"318,892",0,0,0,0,"33,795","32,457","34,687","32,832","39,103",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Rocky Mountain Bank And Trust,Bank,249658,Florence,CO,3/31/2025,"121,643",0,0,0,0,"48,440","46,521","52,833","50,415","12,678",0,0,"10,679",,0,,,,,,,,,,,,,,,,,,,,
Rolette State Bank,Bank,1012457,Rolette,ND,3/31/2025,"46,886","1,000","1,011","1,001","1,005","4,414","4,414","5,810","5,781","4,640",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
Rolling Hills Bank & Trust,Bank,882242,Atlantic,IA,3/31/2025,"468,062",0,0,0,0,"54,294","54,295","44,715","44,376","49,888","7,039",29,"2,159",,7068,,,,,,,,,,,,,,,,,,,,
Rollstone Bank & Trust,Bank,837608,Fitchburg,MA,3/31/2025,"930,258",250,250,250,250,"222,457","195,377","220,606","190,316","70,654",0,0,"1,125",,0,,,,,,,,,,,,,,,,,,,,
Rondout Savings Bank,Bank,425108,Kingston,NY,3/31/2025,"527,278",0,0,0,0,"57,198","48,740","58,885","49,152","40,842",0,0,"3,686",,0,,,,,,,,,,,,,,,,,,,,
Root River State Bank,Bank,309851,Chatfield,MN,3/31/2025,"82,030",834,805,"1,168","1,131","42,658","37,971","43,166","37,832","5,374",0,0,"15,602",,0,,,,,,,,,,,,,,,,,,,,
Rosedale Federal Savings And Loan Association,Bank,86675,Nottingham,MD,3/31/2025,"1,265,751",0,0,0,0,"205,251","180,194","208,424","180,773","232,137","13,895","1,851","20,978",,15746,,,,,,,,,,,,,,,,,,,,
Round Top State Bank,Bank,665865,Round Top,TX,3/31/2025,"888,264","5,705","5,178","6,116","5,488","257,159","228,359","269,240","236,533","84,687",546,0,"68,491",,546,,,,,,,,,,,,,,,,,,,,
"Roxboro Savings Bank, Ssb",Bank,472979,Roxboro,NC,3/31/2025,"334,781",0,0,0,0,"128,334","117,180","130,274","118,210","54,053",0,0,"33,931",,0,,,,,,,,,,,,,,,,,,,,
Royal Bank,Bank,532042,Elroy,WI,3/31/2025,"759,992","147,375","132,483","150,560","134,199","32,866","32,242","31,416","30,465","75,975","2,647",459,"74,484",,3106,,,,,,,,,,,,,,,,,,,,
Royal Banks Of Missouri,Bank,501459,Saint Louis,MO,3/31/2025,"1,036,882",354,350,365,357,"66,232","63,488","67,610","64,262","101,418","14,900","1,917","14,239",,16817,,,,,,,,,,,,,,,,,,,,
Royal Business Bank,Bank,3835454,Los Angeles,CA,3/31/2025,"4,001,883","5,188","4,920","5,191","4,948","403,141","378,188","449,416","420,190","536,076","71,498","2,026","14,126",,73524,,,,,,,,,,,,,,,,,,,,
Rsnb Bank,Bank,550952,Rock Springs,WY,3/31/2025,"364,962",0,0,0,0,"224,940","192,200","228,154","193,529","15,964",0,0,"98,134",,0,,,,,,,,,,,,,,,,,,,,
Rushford State Bank (incorporated),Bank,884657,Rushford,MN,3/31/2025,"106,182",0,0,0,0,"20,732","20,223","19,310","18,557","6,171",0,0,"2,604",,0,,,,,,,,,,,,,,,,,,,,
Rushville State Bank,Bank,49148,Rushville,IL,3/31/2025,"126,955",0,0,0,0,"59,352","51,443","60,827","52,060","11,084",0,0,"12,135",,0,,,,,,,,,,,,,,,,,,,,
Rvr Bank,Bank,1155,Fremont,NE,3/31/2025,"531,573",0,0,0,0,"79,406","74,853","82,993","77,361","44,176","8,580",616,"46,869",,9196,,,,,,,,,,,,,,,,,,,,
S & T Bank,Bank,936426,Indiana,PA,3/31/2025,"9,713,424",0,0,0,0,"1,064,347","1,009,950","1,058,154","986,415","1,011,046","373,424","2,813","4,972",,376237,,,,,,,,,,,,,,,,,,,,
Sabine State Bank And Trust Company,Bank,125855,Many,LA,3/31/2025,"1,394,923","1,387","1,373","1,387","1,372","123,436","117,254","123,700","116,976","124,566",0,425,"114,930",,425,,,,,,,,,,,,,,,,,,,,
