Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amerasia Bank,Bank,1169650,Flushing,NY,3/31/2025,"995,918",0,0,0,0,"103,081","102,432","79,730","78,834","141,425",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
American Bank,Bank,630555,Bozeman,MT,3/31/2025,"663,889","14,053","13,354","14,359","13,555","140,416","127,002","149,812","133,307","49,165",0,0,"28,741",,0,,,,,,,,,,,,,,,,,,,,
American Bank,Bank,597452,Covington,LA,3/31/2025,"327,183",0,0,0,0,"1,280","1,272",130,130,"33,086",0,"3,357",130,,3357,,,,,,,,,,,,,,,,,,,,
American Bank,Bank,2580243,Allentown,PA,3/31/2025,"1,005,824",0,0,0,0,"59,354","58,006","63,553","61,633","105,993",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
American Bank & Trust,Bank,275358,Sioux Falls,SD,3/31/2025,"1,941,027",0,0,0,0,"297,663","266,944","280,541","246,192","153,962","6,590","2,454","20,602",,9044,,,,,,,,,,,,,,,,,,,,
American Bank & Trust Company,Bank,83834,Opelousas,LA,3/31/2025,"255,468","1,675","1,527","1,675","1,660","58,265","52,756","59,490","53,308","23,369",0,0,"24,134",,0,,,,,,,,,,,,,,,,,,,,
American Bank & Trust Company Inc.,Bank,2919898,Bowling Green,KY,3/31/2025,"891,906","2,000","1,988","2,000","1,973","105,546","95,314","103,910","91,914","71,552",0,0,"8,711",,0,,,,,,,,,,,,,,,,,,,,
American Bank And Trust Company,Bank,452159,Tulsa,OK,3/31/2025,"306,591",0,0,0,0,"88,410","86,724","92,071","89,603","46,019",0,0,"27,315",,0,,,,,,,,,,,,,,,,,,,,
"American Bank And Trust Company, National Association",Bank,2733263,Davenport,IA,3/31/2025,"501,067","74,238","72,362","74,621","72,779","33,599","29,752","41,894","37,571","35,059",0,0,"40,340",,0,,,,,,,,,,,,,,,,,,,,
American Bank National Association,Bank,307361,Waco,TX,3/31/2025,"602,901","11,535","10,637","11,326","10,251","31,272","28,855","34,275","31,294","59,767",0,0,"11,535",,0,,,,,,,,,,,,,,,,,,,,
American Bank Of Baxter Springs,Bank,1002953,Baxter Springs,KS,3/31/2025,"191,791",0,0,0,0,"36,268","34,833","40,296","38,451","14,892",0,0,"10,678",,0,,,,,,,,,,,,,,,,,,,,
American Bank Of Beaver Dam,Bank,510648,Beaver Dam,WI,3/31/2025,"199,663",0,0,0,0,"86,982","82,593","87,386","82,419","17,464",0,0,"7,260",,0,,,,,,,,,,,,,,,,,,,,
American Bank Of Commerce,Bank,215662,Wolfforth,TX,3/31/2025,"1,490,531","1,850","1,850","1,850","1,849","461,450","401,057","473,920","405,345","96,799",438,0,"161,498",,438,,,,,,,,,,,,,,,,,,,,
American Bank of Missouri,Bank,568359,Wellsville,MO,3/31/2025,"941,567",0,0,0,0,"83,132","75,949","83,300","75,372","85,656","4,478",481,"18,736",,4959,,,,,,,,,,,,,,,,,,,,
American Bank Of Oklahoma,Bank,2684552,Collinsville,OK,3/31/2025,"385,461","24,858","23,983","23,196","22,134",0,0,0,0,"35,986",111,0,"15,924",,111,,,,,,,,,,,,,,,,,,,,
American Bank Of The Carolinas,Bank,5230790,Monroe,NC,3/31/2025,"192,369",0,0,0,0,"36,042","33,402","36,403","33,023","22,401",0,0,"3,447",,0,,,,,,,,,,,,,,,,,,,,
"American Bank, National Association",Bank,345345,Le Mars,IA,3/31/2025,"551,879",0,0,0,0,"9,879","9,892","12,795","12,797","52,999",632,0,"6,649",,632,,,,,,,,,,,,,,,,,,,,
"American Bank, National Association",Bank,807955,Corpus Christi,TX,3/31/2025,"2,517,020",0,0,0,0,"460,392","409,594","475,473","417,776","188,744","37,228","9,708","70,530",,46936,,,,,,,,,,,,,,,,,,,,
"American Bank, National Association",Bank,494654,Dallas,TX,3/31/2025,"632,208","9,251","8,541","9,227","8,361","24,523","23,387","20,826","19,535","60,946","3,265",471,"9,251",,3736,,,,,,,,,,,,,,,,,,,,
American Business Bank,Bank,2734729,Los Angeles,CA,3/31/2025,"4,174,286","541,174","442,313","544,861","438,603","626,536","531,989","642,327","538,274","368,038",0,181,"451,078",,181,,,,,,,,,,,,,,,,,,,,
"American Commerce Bank, National Association",Bank,3272956,Bremen,GA,3/31/2025,"511,515",0,0,0,0,0,0,0,0,"73,629",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
"American Commercial Bank & Trust, National Association",Bank,856243,Ottawa,IL,3/31/2025,"1,764,192",0,0,0,0,"176,451","170,319","179,575","171,976","153,025","2,446",0,"9,778",,2446,,,,,,,,,,,,,,,,,,,,
American Community Bank,Bank,2871558,Glen Cove,NY,3/31/2025,"287,564",0,0,0,0,"26,118","23,348","28,235","25,183","35,695",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
